"eval","loc","VEpriorInf","state","mean","sd","median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr","ci80.lwr","ci80.upr","ci90.lwr","ci90.upr"
"obs.most","in","0.7-0.85","dImm",53.55,11.51,57.29,48.51,60.35,0,64.61,46.32,62.42,44.48,63.42
"obs.most","in","0.8-0.9","dRtx",52.7,8.18,54.23,46.54,57.63,37.65,71.83,41.71,60.76,39.29,63.97
"obs.most","in","0.8-0.9","dImm",53.83,11.99,58.43,48.09,60.32,0,65.64,45.78,62.63,44.84,63.84
"obs.most","in","0.9-0.95","dRtx",52.46,7.38,54.1,47.33,56.82,38.59,66.19,42.1,59.71,40.12,62.15
"obs.most","in","0.9-0.95","dImm",53.86,11.52,58.24,48.64,60.47,0,64.29,45.8,62.05,40.21,63.29
"obs.most2","in","0.3-0.67","dRtx",53.43,6.92,54.48,50.27,57.09,38.49,67.68,42.9,59.64,40.56,63.37
"obs.most2","in","0.3-0.67","dImm",55.73,10.83,59.43,51.18,61.02,21.12,65.06,47.32,63,46,64.12
"obs.most2","in","0.3-0.75","dRtx",53.88,7.03,54.49,50.91,57.22,38.87,71.45,44.27,60.17,40.77,64.51
"obs.most2","in","0.3-0.75","dImm",54.24,12.75,58.97,49.39,61.2,0,64.29,45.98,62.77,42.74,63.53
"obs.most2","in","0.3-0.85","dRtx",53.43,6.99,54.56,49.21,57.66,38.77,66.25,43.21,60.64,40.89,63
"obs.most2","in","0.3-0.85","dImm",55.75,8.99,59.25,50.29,60.96,44.64,64.67,46.31,62.53,45.33,63.56
"obs.most2","in","0.3-0.95","dRtx",53.84,6.46,54.98,50.97,57.44,39.02,65.36,43.69,60.41,41.33,62.56
"obs.most2","in","0.3-0.95","dImm",55.98,9.14,59.47,50.16,61.2,44.15,65.53,46.67,63.04,45.38,64.01
"obs.most2","in","0.4-0.67","dRtx",53.79,6.64,54.62,51.05,57.66,39.6,66.06,43.55,60.23,42.02,61.85
"obs.most2","in","0.4-0.67","dImm",55.64,9.95,59.22,50.93,61.11,44.68,65.43,46.67,62.92,45.47,63.55
"obs.most2","in","0.5-0.67","dRtx",53.6,7.35,54.97,49.8,56.96,38.38,71.31,42.32,60.38,41.03,64.86
"obs.most2","in","0.5-0.67","dImm",54.49,12.6,58.98,49.62,60.94,0,65.07,46.45,62.87,44.8,63.69
"obs.most2","in","0.5-0.75","dRtx",53.16,7.17,54.41,48.67,57.3,39.51,71.1,42.93,59.55,40.3,62.85
"obs.most2","in","0.5-0.75","dImm",54.42,12.4,59.32,49.34,61.11,0,65.14,46.36,62.49,40.82,63.19
"obs.most2","in","0.6-0.67","dRtx",53.81,6.74,54.52,50.68,57.39,40.76,68.71,43.27,60.96,41.73,63.78
"obs.most2","in","0.6-0.67","dImm",54.72,11.3,58.83,49.55,60.51,0,63.81,46.22,62.02,45.12,62.83
"obs.most2","in","0.6-0.8","dRtx",53.78,6.62,54.84,50.99,57.47,40.21,70.78,43.98,59.52,41.56,61.43
"obs.most2","in","0.6-0.8","dImm",55.07,11.26,58.96,51.46,60.62,0,64.76,46.95,62.24,45.22,63.86
"obs.most2","in","0.7-0.85","dRtx",53,6.96,54.38,48.98,57.25,38.9,65.76,42.74,59.51,40.14,61.4
"obs.most2","in","0.7-0.85","dImm",55.39,8.68,58.23,50.43,60.55,44.93,64.44,47,62.13,46.21,63.23
"obs.most2","in","0.8-0.9","dRtx",53.49,7.8,54.77,48.47,57.96,37.99,71.49,42.58,60.85,39.41,64.75
"obs.most2","in","0.8-0.9","dImm",54.92,11.41,59.07,49.93,60.47,0,66.19,46.13,62.45,45.37,63.75
"obs.most2","in","0.9-0.95","dRtx",53.14,6.88,54.47,49.44,57.08,38.97,64.95,42.41,59.89,40.89,61.74
"obs.most2","in","0.9-0.95","dImm",54.63,10.42,58.35,49.58,60.31,36.26,64.46,46.09,62.05,45.19,63.24
"obs.comb","in","0.3-0.67","dRtx",53.5,7.99,54.45,48.89,57,37.7,72.55,42.21,61.49,39.3,69.98
"obs.comb","in","0.3-0.67","dImm",52.53,15.94,58.87,49.5,60.94,0,66,45.96,63.1,0,64.51
"obs.comb","in","0.3-0.75","dRtx",54.08,8.69,54.42,48.56,57.65,38.71,74.93,42.46,65.34,40.07,72.23
"obs.comb","in","0.3-0.75","dImm",50.94,17.78,58.47,48.09,61.16,0,65.55,44.41,63.07,0,63.94
"obs.comb","in","0.3-0.85","dRtx",52.92,8.2,54.08,46.92,57.51,38.2,72.08,41.77,61.38,39.06,66.65
"obs.comb","in","0.3-0.85","dImm",53.66,13.8,59.16,48.86,61.15,0,64.72,45.92,62.71,42.24,64.12
"obs.comb","in","0.3-0.95","dRtx",53.66,7.52,54.78,49.78,57.7,38.85,69.28,43.04,61.17,40.06,66.88
"obs.comb","in","0.3-0.95","dImm",54.06,13.58,59.31,48.82,61.29,0,66.14,45.92,63.62,44.69,64.59
"obs.comb","in","0.4-0.67","dRtx",53.8,7.74,54.33,49.14,57.58,39.21,72.12,42.95,61.18,41.51,69.53
"obs.comb","in","0.4-0.67","dImm",52.05,16.21,58.54,48.62,61.16,0,65.29,45.61,62.98,0,63.56
"obs.comb","in","0.5-0.67","dRtx",53.73,8.52,54.6,48.17,57.19,37.33,73.26,42,63.66,39.68,71.97
"obs.comb","in","0.5-0.67","dImm",51.61,17.04,58.78,48.33,60.85,0,65.64,45.09,62.91,0,64.31
"obs.comb","in","0.5-0.75","dRtx",53.55,8.54,54.5,47.12,57.53,38.71,72.64,41.62,62.98,39.96,71.95
"obs.comb","in","0.5-0.75","dImm",51.59,17.64,59.27,48.11,61.24,0,65.4,45.28,62.81,0,64.45
"obs.comb","in","0.6-0.67","dRtx",53.95,8.22,54.32,49.12,57.53,39.42,72.8,42.44,63.18,40.78,71.07
"obs.comb","in","0.6-0.67","dImm",51.43,16.88,58.56,48.38,60.52,0,64.33,45.23,62.34,0,63.57
"obs.comb","in","0.6-0.8","dRtx",53.92,7.98,54.68,49.48,57.6,39.16,73.61,43.05,60.9,40.97,71.36
"obs.comb","in","0.6-0.8","dImm",52.18,16.38,58.61,49.36,60.63,0,65,45.65,62.17,0,64.08
"obs.comb","in","0.7-0.85","dRtx",53.09,7.78,54.32,47.7,57.34,38.38,71.62,42.4,60.21,39.95,65.92
"obs.comb","in","0.7-0.85","dImm",52.93,13.88,57.82,48.68,60.39,0,64.77,46.25,62.32,0,63.42
"obs.comb","in","0.8-0.9","dRtx",54.15,8.92,55.02,47.89,58.53,38.22,73.64,42.44,65.05,39.44,71.74
"obs.comb","in","0.8-0.9","dImm",50.56,17.91,58.18,47.68,60.3,0,65.48,39.79,62.38,0,63.74
"obs.comb","in","0.9-0.95","dRtx",53.39,8.19,54.4,47.79,57.31,38.59,71.76,42.27,61.81,40.26,69.46
"obs.comb","in","0.9-0.95","dImm",51.79,16.04,58.07,48.31,60.35,0,64.24,45.57,62.15,0,63.3
