"week","temp","mean_daily_td","mean_daily_ap","spec.hum"
1,21.0469359462892,16.331141573406,1013.58246252584,0.0120268006003885
2,20.1921312597056,14.8478572380047,1013.90484915097,0.0111210401508669
3,20.7292112426525,14.8452561954097,1013.0395258391,0.0109454264461978
4,20.3518635099833,13.8954067913428,1014.7892773136,0.0104703720855497
5,21.1092197028426,13.7289655559508,1014.22598277003,0.0102791451329032
6,20.9780768625706,13.7138437175044,1014.42538486164,0.0102238135987307
7,22.6312680665804,15.0365719911199,1014.33528622555,0.011054706679461
8,24.5425457238588,15.6678945794595,1012.89362978332,0.0115059659924189
9,25.2390309424123,15.8900059680454,1012.05014408289,0.0117394691118773
10,25.9193492280385,17.5705948444661,1011.49569065532,0.0129240829282883
11,26.1825884674622,17.1760289775824,1010.89244496914,0.0126753075452725
12,27.4620556379768,17.3741785033795,1010.96748421159,0.0129094605788883
13,28.7080103065451,18.1794876073392,1007.85855490965,0.0137383687127978
14,29.4675663665168,18.0893500657442,1009.00585272378,0.0136578177562231
15,29.8859601463537,18.4268762591327,1009.71281602021,0.0139074092498628
16,30.6733281308753,19.5034726174634,1008.44005142958,0.0148011108229155
17,30.9008107699468,19.7510083529798,1007.64545534562,0.0150426909174497
18,30.3371468274864,21.0358843328342,1008.01009085742,0.0159383406716557
19,30.8311205390333,21.6693743517604,1005.83484509602,0.0165986794438025
20,30.5876620246102,22.4481591188251,1005.57712401388,0.0173186977795612
21,31.5442736336384,21.4977990230555,1003.24445837974,0.0166460152560715
22,31.4338672057315,22.8379974265714,1004.7605397539,0.0177898586804254
23,29.9430984157198,23.3414081793458,1004.17858125906,0.0181605542260415
24,29.6872953710241,23.8961217383677,1001.86486030233,0.018785404197931
25,29.7651727805929,24.181384114167,1002.94447857592,0.019102324331716
26,29.7858274436025,24.4345448800444,1003.18907610553,0.0193575109609376
27,29.840518565529,24.6177666461566,1002.52209207012,0.019580162049709
28,28.9344593475422,24.8514160816819,1002.39871774895,0.0198438266410002
29,28.6584440468196,24.8577804507735,1001.64371501754,0.0198669890029164
30,28.4699222701403,24.7135599343966,1002.92090903185,0.0196621364142441
31,28.8348002316419,24.7277316622271,1003.67880537153,0.0196734483387405
32,28.9391764149917,24.7940756571126,1002.31788728237,0.0197937494608175
33,28.0785948514094,24.6585001028309,1003.31949986397,0.0196097988444559
34,28.2295454193031,24.613298779342,1003.20612428978,0.0195465296120334
35,28.0695913411355,24.5704505319525,1004.61311922515,0.019459048535099
36,28.4403830236357,24.7166807434681,1005.21198855705,0.0196133265857796
37,28.4181112609157,24.6809200715526,1004.37364470235,0.019594657026471
38,28.3666620529664,24.7127367120851,1005.24497846399,0.0196088248745322
39,28.1682653507254,24.4069420148423,1004.78551619826,0.0192695893939721
40,28.4168810748099,23.826413465606,1006.32345030336,0.0186425905082425
41,28.3524031381391,22.7109490605301,1006.3883937894,0.0176151080985182
42,27.6073202146599,22.3173217064712,1007.02705681175,0.0171859392627071
43,26.6591135500686,20.8348032965374,1009.51386895754,0.0157971413037563
44,25.7092053268251,19.022052712217,1011.04688315148,0.0141823898816755
45,25.3499501116848,17.8107822291436,1012.40074225069,0.0133562199885388
46,24.4505567964261,17.2693559025417,1013.60938258747,0.0127232216933354
47,24.4717101492328,18.4179979171144,1011.80541878041,0.0136771961246272
48,22.3963133585295,15.9776485842954,1013.91956937155,0.011759381130909
49,22.7986878138917,16.2525505037456,1013.37963600693,0.0119326116439783
50,22.8373786785584,16.9668047050487,1013.60659771757,0.0123639366005156
51,20.8492610704815,15.3993552585606,1014.55892125107,0.0114979632294606
52,20.0427102095658,12.9657078298384,1013.8413659681,0.00978763658297892
53,19.8596090245464,13.3593091551891,1013.69990912832,0.0101974685183249
