"date","n.v1","n.v2"
2021-01-16,137.866932073329,0
2021-01-17,23.8839256530129,0
2021-01-18,165.678869291317,0
2021-01-19,159.216075157793,0
2021-01-20,94.9364410716635,0
2021-01-21,170.944582610106,0
2021-01-22,250.274983975947,0
2021-01-23,138.175577006285,0
2021-01-24,24.015892995842,0
2021-01-25,294.442218108497,0
2021-01-26,4.08954536166172,0
2021-01-27,235.449210198764,0
2021-01-28,412.541451812249,0
2021-01-29,412.469338510157,0
2021-01-30,176.177844942954,0
2021-01-31,10.4629190005907,0
2021-02-01,137.962121632091,0
2021-02-02,136.122511295713,0
2021-02-03,224.0084348218,0
2021-02-04,367.700679438155,0
2021-02-05,329.84912830286,0
2021-02-06,258.506717409797,0
2021-02-07,26.7107670950362,0
2021-02-08,322.091179263756,0
2021-02-09,254.237609925926,0
2021-02-10,292.457660034914,0
2021-02-11,351.837916376883,0
2021-02-12,333.622817401356,0
2021-02-13,55.6274801010798,5.52964800444755
2021-02-14,134.803559000443,32.6132408713016
2021-02-15,134.804280133464,32.6132408713016
2021-02-16,160.343206069498,85.2530668666919
2021-02-17,146.850807248004,90.701947972796
2021-02-18,387.212375585304,88.5666730978391
2021-02-19,224.567312913016,210.578053440106
2021-02-20,195.7032426175,84.3711211821015
2021-02-21,115.488011034985,62.5236751801789
2021-02-22,132.703619643511,111.703504941174
2021-02-23,199.901679065321,148.620467681352
2021-02-24,215.706751484919,115.467098177378
2021-02-25,231.706529820167,273.385133897508
2021-02-26,249.994463230807,247.510159973723
2021-02-27,170.051819930202,180.135422961786
2021-02-28,40.6762291782562,1.66798067739791
2021-03-01,296.57460845137,102.118204827049
2021-03-02,469.049435331878,83.7805132379645
2021-03-03,600.235069966343,117.507904626594
2021-03-04,762.752492093928,239.229389494449
2021-03-05,865.250012889982,210.825402066283
2021-03-06,844.893869975331,182.461076954267
2021-03-07,42.9795280470884,5.09552592585112
2021-03-08,1237.01716143313,219.471786987165
2021-03-09,765.081751751513,215.062779697234
2021-03-10,742.950179339346,206.857728185157
2021-03-11,289.433949278178,56.644277660583
2021-03-12,1182.4151324878,298.458207902025
2021-03-13,888.530350204482,207.557227215454
2021-03-14,104.384004778793,17.9410684275757
2021-03-15,1894.48783813721,297.319538861985
2021-03-16,1285.45782984768,241.255773283246
2021-03-17,1253.87004013213,245.162871990614
2021-03-18,1316.38722511512,267.626165592406
2021-03-19,1742.11315194893,221.946715514977
2021-03-20,1646.45990465447,185.541757219656
2021-03-21,323.871656692418,9.40501685889475
2021-03-22,2204.39619614547,268.077594863505
2021-03-23,1514.95552922475,177.321561914139
2021-03-24,1524.89779018424,136.897729293207
2021-03-25,1553.99406531249,146.96474626531
2021-03-26,1748.85286116249,129.938795641287
2021-03-27,1452.95179095266,104.70202444102
2021-03-28,157.782462712195,30.1830225907867
2021-03-29,397.462560344722,22.8995790794512
2021-03-30,1281.91273991681,117.805732564236
2021-03-31,1293.83234761967,194.256649777526
2021-04-01,2427.04313182377,220.410702180408
2021-04-02,2836.06545449391,239.680097632527
2021-04-03,1916.68575478731,192.885054771728
2021-04-04,2119.67532544823,134.234585046933
2021-04-05,2594.9762629385,293.711710358301
2021-04-06,2639.13484347479,221.273898406455
2021-04-07,2037.93057072833,212.869093047582
2021-04-08,2663.50120711881,318.808581752509
2021-04-09,2385.02487409357,312.660201616108
2021-04-10,2251.45589482495,286.92296409932
2021-04-11,1948.09686691273,167.287717060999
2021-04-12,2491.97539129384,395.816213657952
2021-04-13,1628.94935264038,279.524139304636
2021-04-14,2074.90522411018,314.684422005842
2021-04-15,1564.89903885491,403.989535317108
2021-04-16,1484.97802954493,472.272178802388
2021-04-17,1458.55787905733,477.647504340358
2021-04-18,678.365505985366,208.610802559024
2021-04-19,1649.52760452548,713.298631784981
2021-04-20,726.245854042656,181.297168258495
2021-04-21,726.245854042656,181.297168258495
2021-04-22,1378.01885874842,863.62530019384
2021-04-23,1012.16788550893,533.59660976877
2021-04-24,1012.16788550893,533.59660976877
2021-04-25,1012.16788550893,533.59660976877
2021-04-26,1508.06510320982,900.356210614619
2021-04-27,993.025409468497,704.727965831295
2021-04-28,919.366719312226,648.491128327535
2021-04-29,918.528041608891,679.05563028639
2021-04-30,1128.60490759945,839.608686064977
2021-05-01,686.531616314312,487.630148749013
2021-05-02,270.555407923401,151.441540059208
2021-05-03,715.741830459872,633.227626806651
2021-05-04,671.550798937631,531.743297904995
2021-05-05,795.209247099689,777.21120916346
2021-05-06,957.844213909684,969.28643155269
2021-05-07,891.27498248212,973.861299437433
2021-05-08,772.805807538633,888.581550648967
2021-05-09,352.052814017119,232.79399841572
2021-05-10,964.397870803844,1050.4838463097
2021-05-11,984.58598972462,1008.4273685294
2021-05-12,899.901896811437,674.283893086934
2021-05-13,924.741323717175,745.596737526138
2021-05-14,558.064653168732,368.279028120937
2021-05-15,916.307673037465,452.491500038435
2021-05-16,455.916881887825,53.5419634045667
2021-05-17,956.138013182177,173.299081923424
2021-05-18,850.9239842963,140.199797396019
2021-05-19,766.857181249029,112.202528991654
2021-05-20,931.015902132237,133.581959662997
2021-05-21,935.657114254906,130.037590865154
2021-05-22,935.657114254906,130.037590865154
2021-05-23,586.693634099427,45.5546940648091
2021-05-24,1635.75829062395,128.472732209748
2021-05-25,872.480092557769,94.6083255471429
2021-05-26,1931.38316688676,173.485855375843
2021-05-27,1870.59381662191,132.389926779409
2021-05-28,1313.87263427116,102.170126404555
2021-05-29,2562.28802423302,266.104574918256
2021-05-30,1037.93324721354,98.6949863767209
