"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br","case.in","death.in","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br","mob.bus.in","mob.full.in"
2020-01-19,2020,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-26,2020,5,0.0293224536865039,0,0,0,0,0,0.000721133020924302,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02,2020,6,0.161273495275772,0,0,0,0,0,0.0014422660418486,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-09,2020,7,0.0733061342162598,0,0,0,0,0,0,0,-9,-11.3333333333333,-2.33333333333333,-1.75,3,1.5,4,2.66666666666667
2020-02-16,2020,8,0.0733061342162598,0,0,0,0,0,0,0,-4.09523809523809,-1.83333333333333,-2.47619047619048,-3.91666666666667,4.42857142857143,1.61904761904762,1,1.30952380952381
2020-02-23,2020,9,0.557126620043574,0,0,0,0.00934608102023241,0,0,0,-0.238095238095238,-0.726190476190476,2.28571428571429,-0.166666666666667,-11.4047619047619,-5.94047619047619,2.38095238095238,1.61904761904762
2020-03-01,2020,10,5.38067025147347,0.0293224536865039,0.0166550098252899,0,0.0514034456112783,0,0.0223551236486534,0,1.85714285714286,3.02380952380952,6.42857142857143,4.27380952380952,3.97619047619048,0.976190476190476,3.23809523809524,2.48809523809524
2020-03-08,2020,11,32.2840215088408,0.395853124767803,0.616235363535728,0,0.644879590396036,0,0.0490370454228526,0.0014422660418486,-1.52380952380952,1.8452380952381,-2.28571428571429,-3.19047619047619,5.73809523809524,2.46428571428571,-4.42857142857143,-1.60714285714286
2020-03-15,2020,12,92.7615822372551,3.26945358604519,3.36431198470857,0,4.0655452438011,0.0700956076517431,0.164418328770741,0.0014422660418486,-18.9047619047619,-4.08333333333333,-11.7142857142857,-7.27380952380952,-17.3095238095238,-12.0595238095238,-4.35714285714286,-1.70238095238095
2020-03-22,2020,13,262.172058411031,17.7694069340214,15.7722943045496,0.0166550098252899,13.472375790665,0.448611888971156,0.473784394747267,0.014422660418486,-58.7380952380952,-31.5595238095238,-32.6904761904762,-17.6904761904762,-57.4761904761905,-40.2738095238095,-57.1190476190476,-39.7023809523809
